Date,Title,Author,Status,Re-read?,Note,Google Books,Img link
8/1/20,Being Mortal,Atul Gawande,Paused,FALSE,,http://books.google.com/books?id=UtHqjgEACAAJ&dq=Being+Mortal&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=UtHqjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
7/1/20,A Little Life,Hanya Yanagihara,Paused,FALSE,,http://books.google.com/books?id=Lf99BAAAQBAJ&dq=A+Little+Life&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=Lf99BAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
7/1/20,Everything I Never Told You,Celeste Ng,Paused,FALSE,,http://books.google.com/books?id=q3rJoAEACAAJ&dq=Everything+I+Never+Told+You&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=q3rJoAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
6/1/20,Normal People,Sally Rooney,,FALSE,,http://books.google.com/books?id=kwBlDwAAQBAJ&pg=PP1&dq=Normal+People&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=kwBlDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
6/1/20,Little Fires Everywhere,Celeste Ng,,FALSE,,http://books.google.com/books?id=t2XRDwAAQBAJ&dq=Little+Fires+Everywhere&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=t2XRDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
6/1/20,The Road,Cormac McCarthy,,FALSE,,http://books.google.com/books?id=VcZtDwAAQBAJ&pg=PP1&dq=The+Road&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=VcZtDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
6/1/20,Becoming,Michelle Obama,,FALSE,,http://books.google.com/books?id=hi17DwAAQBAJ&dq=Becoming&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=hi17DwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1/1/20,The Friend,Sigrid Núñez,,FALSE,,http://books.google.com/books?id=gQIvDwAAQBAJ&pg=PP1&dq=The+Friend&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=gQIvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
12/1/19,Find Me,André Aciman,,FALSE,,http://books.google.com/books?id=4dGQDwAAQBAJ&pg=PP1&dq=Find+Me&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=4dGQDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
11/1/19,Call Me By Your Name,André Aciman,,FALSE,,http://books.google.com/books?id=fEa1tAEACAAJ&dq=Call+Me+By+Your+Name&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=fEa1tAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
11/1/19,When Breath Becomes Air,Paul Kalanathi,,FALSE,,http://books.google.com/books?id=Lu2TuQEACAAJ&dq=When+Breath+Becomes+Air&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=Lu2TuQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
10/1/19,Give and Take,Adam Grant,,FALSE,,http://books.google.com/books?id=atFEzgEACAAJ&dq=Give+and+Take&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=atFEzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
8/1/19,Brain on Fire: My Month of Madness,Susannah Cahalan,,FALSE,,http://books.google.com/books?id=symASFhgbboC&pg=PP1&dq=Brain+on+Fire:+My+Month+of+Madness&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=symASFhgbboC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
4/1/19,A Mind Unraveled,Kurt Eichenwald,,FALSE,,http://books.google.com/books?id=rdLMDwAAQBAJ&dq=A+Mind+Unraveled&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=rdLMDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
3/1/19,Bad Blood,John Carreyrou,,FALSE,,http://books.google.com/books?id=CcJFDwAAQBAJ&pg=PP1&dq=Bad+Blood&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=CcJFDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
